Industry,Names Date,VWRETURN
1,19260731,0.01776
1,19260831,0.04461
1,19260930,0.01172
1,19261031,-0.0131
1,19261130,0.05519
1,19261231,0.00941
1,19270131,-0.00434
1,19270228,0.03616
1,19270331,0.02863
1,19270430,0.03669
1,19270531,0.08573
1,19270630,-0.01491
1,19270731,0.05085
1,19270831,0.02975
1,19270930,0.05432
1,19271031,-0.002
1,19271130,0.07172
1,19271231,0.0286
1,19280131,0.00912
1,19280229,-0.03677
1,19280331,0.05207
1,19280430,0.00326
1,19280531,0.01203
1,19280630,-0.04248
1,19280731,0.01812
1,19280831,0.06773
1,19280930,0.01615
1,19281031,0.01269
1,19281130,0.06944
1,19281231,-0.00285
1,19290131,0.03551
1,19290228,-0.02455
1,19290331,-0.04283
1,19290430,0.02729
1,19290531,-0.03834
1,19290630,0.05553
1,19290731,0.03402
1,19290831,0.05516
1,19290930,-0.03257
1,19291031,-0.08948
1,19291130,-0.07838
1,19291231,0.01385
1,19300131,0.06776
1,19300228,0.02307
1,19300331,0.02553
1,19300430,0.01321
1,19300531,0.02063
1,19300630,-0.10678
1,19300731,0.0332
1,19300831,0.02129
1,19300930,-0.0885
1,19301031,-0.04501
1,19301130,0.00373
1,19301231,-0.03874
1,19310131,0.05851
1,19310228,0.0715
1,19310331,-0.01265
1,19310430,-0.04366
1,19310531,-0.10493
1,19310630,0.11272
1,19310731,-0.03533
1,19310831,-0.00316
1,19310930,-0.2373
1,19311031,0.08129
1,19311130,-0.0408
1,19311231,-0.08803
1,19320131,0.02996
1,19320229,0.06188
1,19320331,-0.05694
1,19320430,-0.10838
1,19320531,-0.1981
1,19320630,0.03157
1,19320731,0.28664
1,19320831,0.24863
1,19320930,-0.00154
1,19321031,-0.1079
1,19321130,-0.06238
1,19321231,0.04386
1,19330131,0.05563
1,19330228,-0.08447
1,19330331,0.11187
1,19330430,0.3594
1,19330531,0.14834
1,19330630,0.11857
1,19330731,-0.05919
1,19330831,0.10519
1,19330930,-0.06784
1,19331031,-0.08477
1,19331130,0.05326
1,19331231,-0.02849
1,19340131,0.11395
1,19340228,-0.04618
1,19340331,0.01623
1,19340430,0.03391
1,19340531,-0.02815
1,19340630,0.03982
1,19340731,-0.04748
1,19340831,0.04773
1,19340930,0.00485
1,19341031,0.00942
1,19341130,0.08707
1,19341231,-0.00679
1,19350131,-0.01324
1,19350228,0.01798
1,19350331,-0.04391
1,19350430,0.05957
1,19350531,0.0133
1,19350630,0.058
1,19350731,0.03693
1,19350831,-0.01273
1,19350930,0.02025
1,19351031,0.05188
1,19351130,0.01592
1,19351231,0.02961
1,19360131,0.0363
1,19360229,0.01036
1,19360331,-0.02028
1,19360430,-0.04585
1,19360531,0.0514
1,19360630,0.02276
1,19360731,0.03767
1,19360831,0.01153
1,19360930,-0.00473
1,19361031,0.03513
1,19361130,0.04987
1,19361231,-0.01091
1,19370131,0.02747
1,19370228,0.01303
1,19370331,-0.00244
1,19370430,-0.06267
1,19370531,-0.00289
1,19370630,-0.03005
1,19370731,0.0529
